id,created_at,updated_at,event_type,payload,device_id,uuid,device_type,company_id,Counter,Latitude,Longitude,Internal Temp,External Temp,Internal Pressure,External Pressure,Altitude,External Altitude,Magnetic X-axis,Magnetic Y-axis,Magnetic Z-axis,Acceleration X-axis,Acceleration Y-axis,Acceleration Z-axis,Gyroscope X-axis,Gyroscope Y-axis,Gyroscope Z-axis
3635898,2023-06-08 22:10:05.632176+00,2023-06-08 22:10:05.632177+00,33,"{""DeviceID"":""PINKEY01"",""MessageID"":""dc5t"",""Payload"":""C:132LT:35.2006LG:-119.9521IT:32.9605ET:-2.9905e\u002B181IP:93561.7864EP:-3.4782e\u002B177IA:667.3511EA:-7.6593e\u002B182MX:360MY:-254MZ:67AX:0AY:3AZ:9GX:0GY:0,GZ:0"",""path"":""PINKEY01""}",PINKEY01,,PAPA,,132,35.2006,-119.9521,32.9605,-2.9905e+181,93561.7864,-3.4782e+177,667.3511,-7.6593e+182,360,-254,67,0,3,9,0,0,0
3635899,2023-06-08 22:15:26.821681+00,2023-06-08 22:15:26.821683+00,33,"{""DeviceID"":""PINKEY01"",""MessageID"":""bxw9"",""Payload"":""C:143LT:35.2006LG:-119.9521IT:33.0321ET:-2.9905e\u002B181IP:93563.7950EP:-3.4782e\u002B177IA:667.1727EA:-7.6593e\u002B182MX:353MY:-258MZ:66AX:0AY:3AZ:9GX:0GY:0,GZ:0"",""path"":""PINKEY01""}",PINKEY01,,PAPA,,143,35.2006,-119.9521,33.0321,-2.9905e+181,93563.7950,-3.4782e+177,667.1727,-7.6593e+182,353,-258,66,0,3,9,0,0,0
3635900,2023-06-08 22:18:23.345468+00,2023-06-08 22:18:23.345469+00,33,"{""DeviceID"":""PINKEY01"",""MessageID"":""9wvz"",""Payload"":""C:176LT:35.1927LG:-119.9450IT:30.6529ET:-2.9905e\u002B181IP:82930.4359EP:-3.4782e\u002B177IA:1658.1410EA:-7.6593e\u002B182MX:482MY:-268MZ:75AX:-1AY:4AZ:9GX:0GY:0,GZ:0"",""path"":""PINKEY01""}",PINKEY01,,PAPA,,176,35.1927,-119.9450,30.6529,-2.9905e+181,82930.4359,-3.4782e+177,1658.1410,-7.6593e+182,482,-268,75,-1,4,9,0,0,0
3635901,2023-06-08 22:21:03.89684+00,2023-06-08 22:21:03.896841+00,33,"{""DeviceID"":""PINKEY01"",""MessageID"":""s18c"",""Payload"":""C:187LT:35.1918LG:-119.9456IT:30.4111ET:-2.9905e\u002B181IP:82122.7272EP:-3.4782e\u002B177IA:1737.5426EA:-7.6593e\u002B182MX:300MY:-460MZ:87AX:-1AY:4AZ:9GX:0GY:0"",""path"":""PINKEY01""}",PINKEY01,,PAPA,,187,35.1918,-119.9456,30.4111,-2.9905e+181,82122.7272,-3.4782e+177,1737.5426,-7.6593e+182,300,-460,87,-1,4,9,0,0,
3635902,2023-06-08 22:21:39.465509+00,2023-06-08 22:21:39.46551+00,33,"{""DeviceID"":""PINKEY01"",""MessageID"":""u1e0"",""Payload"":""C:198LT:35.1885LG:119.9450IT:28.8681ET:-2.9905e\u002B181IP:77114.1471EP:-3.4782e\u002B177IA:2244.5409EA:-7.6593e\u002B182MX:341MY:-239MZ:69AX:-1AY:4AZ:8GX:0GY:0,GZ:2"",""path"":""PINKEY01""}",PINKEY01,,PAPA,,198,35.1885,119.9450,28.8681,-2.9905e+181,77114.1471,-3.4782e+177,2244.5409,-7.6593e+182,341,-239,69,-1,4,8,0,0,2
3635903,2023-06-08 22:22:58.29036+00,2023-06-08 22:22:58.290361+00,33,"{""DeviceID"":""PINKEY01"",""MessageID"":""mjqx"",""Payload"":""C:209LT:35.1889LG:-119.9431IT:28.1155ET:-2.9905e\u002B181IP:74576.2382EP:-3.4782e\u002B177IA:2511.6974EA:-7.6593e\u002B182MX:321MY:-316MZ:69AX:-1AY:4AZ:9GX:0GY:-2,GZ:"",""path"":""PINKEY01""}",PINKEY01,,PAPA,,209,35.1889,-119.9431,28.1155,-2.9905e+181,74576.2382,-3.4782e+177,2511.6974,-7.6593e+182,321,-316,69,-1,4,9,0,-2,
3635904,2023-06-08 22:23:32.213145+00,2023-06-08 22:23:32.213146+00,33,"{""DeviceID"":""PINKEY01"",""MessageID"":""y95w"",""Payload"":""C:220LT:35.1896LG:-119.9404IT:27.9094ET:-2.9905e\u002B181IP:73585.4227EP:-3.4782e\u002B177IA:2617.9977EA:-7.6593e\u002B182MX:403MY:-508MZ:101AX:-1AY:4AZ:9GX:0GY:1,GZ:0"",""path"":""PINKEY01""}",PINKEY01,,PAPA,,220,35.1896,-119.9404,27.9094,-2.9905e+181,73585.4227,-3.4782e+177,2617.9977,-7.6593e+182,403,-508,101,-1,4,9,0,1,0
3635905,2023-06-08 22:27:13.603816+00,2023-06-08 22:27:13.603817+00,33,"{""DeviceID"":""PINKEY01"",""MessageID"":""1amy"",""Payload"":""C:231LT:35.1898LG:-119.9383IT:27.9654ET:-2.9905e\u002B181IP:72869.8785EP:-3.4782e\u002B177IA:2695.4883EA:-7.6593e\u002B182MX:458MY:-501MZ:100AX:-1AY:4AZ:9GX:0GY:0,GZ:-1"",""path"":""PINKEY01""}",PINKEY01,,PAPA,,231,35.1898,-119.9383,27.9654,-2.9905e+181,72869.8785,-3.4782e+177,2695.4883,-7.6593e+182,458,-501,100,-1,4,9,0,0,-1
3635906,2023-06-08 22:27:51.533215+00,2023-06-08 22:27:51.533216+00,33,"{""DeviceID"":""PINKEY01"",""MessageID"":""wt27"",""Payload"":""C:242LT:35.1874LG:-119.9261IT:27.7974ET:-2.9905e\u002B181IP:67413.2002EP:-3.4782e\u002B177IA:3307.6141EA:-7.6593e\u002B182MX:365MY:-258MZ:70AX:-1AY:4AZ:9GX:0GY:0,GZ:0"",""path"":""PINKEY01""}",PINKEY01,,PAPA,,242,35.1874,-119.9261,27.7974,-2.9905e+181,67413.2002,-3.4782e+177,3307.6141,-7.6593e+182,365,-258,70,-1,4,9,0,0,0
3635907,2023-06-08 22:29:55.231319+00,2023-06-08 22:29:55.23132+00,33,"{""DeviceID"":""PINKEY01"",""MessageID"":""ylsd"",""Payload"":""C:253LT:35.1833LG:-119.9226IT:27.5465ET:-2.9905e\u002B181IP:65537.1454EP:-3.4782e\u002B177IA:3527.3482EA:-7.6593e\u002B182MX:569MY:-309MZ:86AX:-1AY:4AZ:8GX:0GY:0,GZ:0"",""path"":""PINKEY01""}",PINKEY01,,PAPA,,253,35.1833,-119.9226,27.5465,-2.9905e+181,65537.1454,-3.4782e+177,3527.3482,-7.6593e+182,569,-309,86,-1,4,8,0,0,0
3635908,2023-06-08 22:31:55.975943+00,2023-06-08 22:31:55.975944+00,33,"{""DeviceID"":""PINKEY01"",""MessageID"":""hmda"",""Payload"":""C:264LT:35.1785LG:-119.9195IT:27.2597ET:-2.9905e\u002B181IP:63877.5291EP:-3.4782e\u002B177IA:3726.0190EA:-7.6593e\u002B182MX:492MY:-465MZ:93AX:-1AY:4AZ:8GX:-1GY:0,GZ:2"",""path"":""PINKEY01""}",PINKEY01,,PAPA,,264,35.1785,-119.9195,27.2597,-2.9905e+181,63877.5291,-3.4782e+177,3726.0190,-7.6593e+182,492,-465,93,-1,4,8,-1,0,2
3635909,2023-06-08 22:32:37.481266+00,2023-06-08 22:32:37.481267+00,33,"{""DeviceID"":""PINKEY01"",""MessageID"":""ckcb"",""Payload"":""C:275LT:35.1728LG:-119.9165IT:26.7353ET:-2.9905e\u002B181IP:61277.4041EP:-3.4782e\u002B177IA:4045.8486EA:-7.6593e\u002B182MX:434MY:-222MZ:72AX:-1AY:4AZ:9GX:0GY:-1,GZ:"",""path"":""PINKEY01""}",PINKEY01,,PAPA,,275,35.1728,-119.9165,26.7353,-2.9905e+181,61277.4041,-3.4782e+177,4045.8486,-7.6593e+182,434,-222,72,-1,4,9,0,-1,
3635910,2023-06-08 22:33:58.48615+00,2023-06-08 22:33:58.486151+00,33,"{""DeviceID"":""PINKEY01"",""MessageID"":""d66x"",""Payload"":""C:286LT:35.1717LG:-119.9159IT:26.5807ET:-2.9905e\u002B181IP:60398.6316EP:-3.4782e\u002B177IA:4156.4278EA:-7.6593e\u002B182MX:477MY:-270MZ:72AX:-1AY:4AZ:9GX:0GY:0,GZ:0"",""path"":""PINKEY01""}",PINKEY01,,PAPA,,286,35.1717,-119.9159,26.5807,-2.9905e+181,60398.6316,-3.4782e+177,4156.4278,-7.6593e+182,477,-270,72,-1,4,9,0,0,0
